altersklasse_covid19,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
0 - 9,CH,202009,2,TRUE,2,0.035,3.5000000000000004,883904,0.23,0.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
10 - 19,CH,202009,1,TRUE,1,0.018,1.7999999999999998,858994,0.12,0.12,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
20 - 29,CH,202009,16,TRUE,16,0.281,28.1,1027732,1.56,1.56,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
30 - 39,CH,202009,15,TRUE,15,0.263,26.3,1254957,1.2,1.2,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
40 - 49,CH,202009,7,TRUE,7,0.123,12.3,1205539,0.58,0.58,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
50 - 59,CH,202009,8,TRUE,8,0.14,14.000000000000002,1300012,0.62,0.62,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
60 - 69,CH,202009,4,TRUE,4,0.07,7.000000000000001,991217,0.4,0.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
70 - 79,CH,202009,3,TRUE,3,0.053,5.3,744449,0.4,0.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
80+,CH,202009,1,TRUE,1,0.018,1.7999999999999998,471987,0.21,0.21,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
Unbekannt,CH,202009,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
0 - 9,CH,202010,4,TRUE,6,0.011,1.0999999999999999,883904,0.45,0.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,2,0.22,100,-2.4000000000000004
10 - 19,CH,202010,9,TRUE,10,0.024,2.4,858994,1.05,1.16,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,8,0.93,800,0.6000000000000001
20 - 29,CH,202010,42,TRUE,58,0.111,11.1,1027732,4.09,5.64,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,26,2.53,162.5,-17
30 - 39,CH,202010,59,TRUE,74,0.156,15.6,1254957,4.7,5.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,44,3.5,293.3,-10.700000000000001
40 - 49,CH,202010,75,TRUE,82,0.199,19.900000000000002,1205539,6.22,6.8,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,68,5.64,971.4,7.600000000000001
50 - 59,CH,202010,84,TRUE,92,0.223,22.3,1300012,6.46,7.08,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,76,5.84,950,8.299999999999999
60 - 69,CH,202010,47,TRUE,51,0.125,12.5,991217,4.74,5.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,43,4.34,1075,5.499999999999999
70 - 79,CH,202010,33,TRUE,36,0.088,8.799999999999999,744449,4.43,4.84,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,30,4.03,1000,3.499999999999999
80+,CH,202010,24,TRUE,25,0.064,6.4,471987,5.08,5.3,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,23,4.87,2300,4.6000000000000005
Unbekannt,CH,202010,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,0,NA,NA,0
0 - 9,CH,202011,13,TRUE,19,0.006,0.6,883904,1.47,2.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,9,1.02,225,-0.4999999999999999
10 - 19,CH,202011,45,TRUE,55,0.02,2,858994,5.24,6.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,36,4.19,400,-0.3999999999999999
20 - 29,CH,202011,266,TRUE,324,0.117,11.700000000000001,1027732,25.88,31.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,224,21.79,533.3,0.6000000000000014
30 - 39,CH,202011,356,TRUE,430,0.157,15.7,1254957,28.37,34.26,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,297,23.67,503.4,0.09999999999999964
40 - 49,CH,202011,389,TRUE,471,0.172,17.2,1205539,32.27,39.07,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,314,26.05,418.7,-2.700000000000003
50 - 59,CH,202011,457,TRUE,549,0.202,20.200000000000003,1300012,35.15,42.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,373,28.69,444,-2.099999999999998
60 - 69,CH,202011,280,TRUE,331,0.124,12.4,991217,28.25,33.39,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,233,23.51,495.7,-0.09999999999999964
70 - 79,CH,202011,259,TRUE,295,0.114,11.4,744449,34.79,39.63,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,226,30.36,684.8,2.6000000000000014
80+,CH,202011,197,TRUE,222,0.087,8.7,471987,41.74,47.04,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,173,36.66,720.8,2.299999999999999
Unbekannt,CH,202011,3,TRUE,3,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,3,NA,NA,0.1
0 - 9,CH,202012,26,TRUE,45,0.004,0.4,883904,2.94,5.09,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,13,1.47,100,-0.19999999999999996
10 - 19,CH,202012,195,TRUE,250,0.03,3,858994,22.7,29.1,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,150,17.46,333.3,1
20 - 29,CH,202012,748,TRUE,1072,0.114,11.4,1027732,72.78,104.31,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,482,46.9,181.2,-0.3000000000000007
30 - 39,CH,202012,920,TRUE,1350,0.14,14.000000000000002,1254957,73.31,107.57,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,564,44.94,158.4,-1.6999999999999975
40 - 49,CH,202012,1042,TRUE,1513,0.159,15.9,1205539,86.43,125.5,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,653,54.16,167.9,-1.299999999999999
50 - 59,CH,202012,1442,TRUE,1991,0.22,22,1300012,110.92,153.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,985,75.77,215.5,1.7999999999999972
60 - 69,CH,202012,904,TRUE,1235,0.138,13.8,991217,91.2,124.59,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,624,62.95,222.9,1.4000000000000004
70 - 79,CH,202012,664,TRUE,959,0.101,10.100000000000001,744449,89.19,128.82,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,405,54.4,156.4,-1.299999999999999
80+,CH,202012,598,TRUE,820,0.091,9.1,471987,126.7,173.73,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,401,84.96,203.6,0.40000000000000036
Unbekannt,CH,202012,19,TRUE,22,0.003,0.3,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-12,16,NA,533.3,0.19999999999999998
0 - 9,CH,202013,16,TRUE,61,0.002,0.2,883904,1.81,6.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,-10,-1.13,-38.5,-0.2
10 - 19,CH,202013,172,TRUE,422,0.023,2.3,858994,20.02,49.13,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,-23,-2.68,-11.8,-0.7000000000000002
20 - 29,CH,202013,783,TRUE,1855,0.107,10.7,1027732,76.19,180.49,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,35,3.41,4.7,-0.7000000000000011
30 - 39,CH,202013,921,TRUE,2271,0.125,12.5,1254957,73.39,180.96,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,1,0.08,0.1,-1.5000000000000018
40 - 49,CH,202013,1145,TRUE,2658,0.156,15.6,1205539,94.98,220.48,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,103,8.55,9.9,-0.3000000000000007
50 - 59,CH,202013,1560,TRUE,3551,0.212,21.2,1300012,120,273.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,118,9.08,8.2,-0.8000000000000007
60 - 69,CH,202013,1017,TRUE,2252,0.138,13.8,991217,102.6,227.2,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,113,11.4,12.5,0
70 - 79,CH,202013,790,TRUE,1749,0.108,10.8,744449,106.12,234.94,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,126,16.93,19,0.6999999999999993
80+,CH,202013,936,TRUE,1756,0.127,12.7,471987,198.31,372.04,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,338,71.61,56.5,3.5999999999999996
Unbekannt,CH,202013,5,TRUE,27,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-13,-14,NA,-73.7,-0.19999999999999998
0 - 9,CH,202014,23,TRUE,84,0.004,0.4,883904,2.6,9.5,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,7,0.79,43.8,0.2
10 - 19,CH,202014,157,TRUE,579,0.026,2.6,858994,18.28,67.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-15,-1.74,-8.7,0.30000000000000027
20 - 29,CH,202014,742,TRUE,2597,0.123,12.3,1027732,72.2,252.69,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-41,-3.99,-5.2,1.6000000000000014
30 - 39,CH,202014,736,TRUE,3007,0.122,12.2,1254957,58.65,239.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-185,-14.74,-20.1,-0.3000000000000007
40 - 49,CH,202014,952,TRUE,3610,0.158,15.8,1205539,78.97,299.45,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-193,-16.01,-16.9,0.20000000000000107
50 - 59,CH,202014,1267,TRUE,4818,0.21,21,1300012,97.46,370.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-293,-22.54,-18.8,-0.1999999999999993
60 - 69,CH,202014,673,TRUE,2925,0.112,11.200000000000001,991217,67.9,295.09,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-344,-34.7,-33.8,-2.5999999999999996
70 - 79,CH,202014,541,TRUE,2290,0.09,9,744449,72.67,307.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-249,-33.45,-31.5,-1.8000000000000007
80+,CH,202014,926,TRUE,2682,0.154,15.4,471987,196.19,568.24,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,-10,-2.12,-1.1,2.700000000000001
Unbekannt,CH,202014,7,TRUE,34,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-14,2,NA,40,0
0 - 9,CH,202015,17,TRUE,101,0.005,0.5,883904,1.92,11.43,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-6,-0.68,-26.1,0.09999999999999998
10 - 19,CH,202015,102,TRUE,681,0.028,2.8000000000000003,858994,11.87,79.28,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-55,-6.41,-35,0.20000000000000018
20 - 29,CH,202015,507,TRUE,3104,0.141,14.099999999999998,1027732,49.33,302.02,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-235,-22.87,-31.7,1.7999999999999972
30 - 39,CH,202015,453,TRUE,3460,0.126,12.6,1254957,36.1,275.71,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-283,-22.55,-38.5,0.40000000000000036
40 - 49,CH,202015,546,TRUE,4156,0.152,15.2,1205539,45.29,344.74,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-406,-33.68,-42.6,-0.6000000000000014
50 - 59,CH,202015,648,TRUE,5466,0.18,18,1300012,49.85,420.46,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-619,-47.61,-48.9,-3
60 - 69,CH,202015,367,TRUE,3292,0.102,10.2,991217,37.03,332.12,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-306,-30.87,-45.5,-1.0000000000000018
70 - 79,CH,202015,325,TRUE,2615,0.09,9,744449,43.66,351.27,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-216,-29.01,-39.9,0
80+,CH,202015,631,TRUE,3313,0.175,17.5,471987,133.69,701.93,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-295,-62.5,-31.9,2.0999999999999996
Unbekannt,CH,202015,4,TRUE,38,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-15,-3,NA,-42.9,0
0 - 9,CH,202016,9,TRUE,110,0.005,0.5,883904,1.02,12.44,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-8,-0.9,-47.1,0
10 - 19,CH,202016,67,TRUE,748,0.036,3.5999999999999996,858994,7.8,87.08,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-35,-4.07,-34.3,0.7999999999999994
20 - 29,CH,202016,286,TRUE,3390,0.156,15.6,1027732,27.83,329.85,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-221,-21.5,-43.6,1.5000000000000018
30 - 39,CH,202016,273,TRUE,3733,0.149,14.899999999999999,1254957,21.75,297.46,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-180,-14.35,-39.7,2.299999999999999
40 - 49,CH,202016,256,TRUE,4412,0.139,13.900000000000002,1205539,21.24,365.98,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-290,-24.05,-53.1,-1.2999999999999972
50 - 59,CH,202016,295,TRUE,5761,0.161,16.1,1300012,22.69,443.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-353,-27.16,-54.5,-1.8999999999999986
60 - 69,CH,202016,143,TRUE,3435,0.078,7.8,991217,14.43,346.54,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-224,-22.6,-61,-2.3999999999999995
70 - 79,CH,202016,125,TRUE,2740,0.068,6.800000000000001,744449,16.79,368.06,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-200,-26.87,-61.5,-2.1999999999999993
80+,CH,202016,380,TRUE,3693,0.207,20.7,471987,80.51,782.44,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-251,-53.18,-39.8,3.1999999999999993
Unbekannt,CH,202016,3,TRUE,41,0.002,0.2,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-16,-1,NA,-25,0.1
0 - 9,CH,202017,8,TRUE,118,0.007,0.7000000000000001,883904,0.91,13.35,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-1,-0.11,-11.1,0.20000000000000007
10 - 19,CH,202017,45,TRUE,793,0.039,3.9,858994,5.24,92.32,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-22,-2.56,-32.8,0.30000000000000027
20 - 29,CH,202017,201,TRUE,3591,0.172,17.2,1027732,19.56,349.41,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-85,-8.27,-29.7,1.5999999999999996
30 - 39,CH,202017,172,TRUE,3905,0.147,14.7,1254957,13.71,311.17,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-101,-8.04,-37,-0.1999999999999993
40 - 49,CH,202017,165,TRUE,4577,0.141,14.099999999999998,1205539,13.69,379.66,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-91,-7.55,-35.5,0.19999999999999574
50 - 59,CH,202017,211,TRUE,5972,0.181,18.099999999999998,1300012,16.23,459.38,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-84,-6.46,-28.5,1.9999999999999964
60 - 69,CH,202017,99,TRUE,3534,0.085,8.5,991217,9.99,356.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-44,-4.44,-30.8,0.7000000000000002
70 - 79,CH,202017,76,TRUE,2816,0.065,6.5,744449,10.21,378.27,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-49,-6.58,-39.2,-0.3000000000000007
80+,CH,202017,190,TRUE,3883,0.163,16.3,471987,40.26,822.69,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-190,-40.25,-50,-4.399999999999999
Unbekannt,CH,202017,0,TRUE,41,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-17,-3,NA,-100,-0.2
0 - 9,CH,202018,19,TRUE,137,0.027,2.7,883904,2.15,15.5,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,11,1.24,137.5,2
10 - 19,CH,202018,25,TRUE,818,0.036,3.5999999999999996,858994,2.91,95.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-20,-2.33,-44.4,-0.30000000000000027
20 - 29,CH,202018,123,TRUE,3714,0.176,17.599999999999998,1027732,11.97,361.38,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-78,-7.59,-38.8,0.3999999999999986
30 - 39,CH,202018,107,TRUE,4012,0.153,15.299999999999999,1254957,8.53,319.69,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-65,-5.18,-37.8,0.5999999999999996
40 - 49,CH,202018,104,TRUE,4681,0.149,14.899999999999999,1205539,8.63,388.29,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-61,-5.06,-37,0.8000000000000007
50 - 59,CH,202018,120,TRUE,6092,0.171,17.1,1300012,9.23,468.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-91,-7,-43.1,-0.9999999999999964
60 - 69,CH,202018,63,TRUE,3597,0.09,9,991217,6.36,362.89,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-36,-3.63,-36.4,0.5
70 - 79,CH,202018,30,TRUE,2846,0.043,4.3,744449,4.03,382.3,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-46,-6.18,-60.5,-2.2
80+,CH,202018,108,TRUE,3991,0.154,15.4,471987,22.88,845.57,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,-82,-17.38,-43.2,-0.9000000000000004
Unbekannt,CH,202018,1,TRUE,42,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-18,1,NA,NA,0.1
0 - 9,CH,202019,13,TRUE,150,0.032,3.2,883904,1.47,16.97,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-6,-0.68,-31.6,0.5
10 - 19,CH,202019,24,TRUE,842,0.06,6,858994,2.79,98.02,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-1,-0.12,-4,2.4000000000000004
20 - 29,CH,202019,62,TRUE,3776,0.155,15.5,1027732,6.03,367.41,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-61,-5.94,-49.6,-2.099999999999998
30 - 39,CH,202019,64,TRUE,4076,0.16,16,1254957,5.1,324.79,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-43,-3.43,-40.2,0.7000000000000011
40 - 49,CH,202019,64,TRUE,4745,0.16,16,1205539,5.31,393.6,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-40,-3.32,-38.5,1.1000000000000014
50 - 59,CH,202019,65,TRUE,6157,0.162,16.2,1300012,5,473.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-55,-4.23,-45.8,-0.9000000000000021
60 - 69,CH,202019,33,TRUE,3630,0.082,8.200000000000001,991217,3.33,366.22,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-30,-3.03,-47.6,-0.7999999999999989
70 - 79,CH,202019,25,TRUE,2871,0.062,6.2,744449,3.36,385.65,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-5,-0.67,-16.7,1.9000000000000004
80+,CH,202019,50,TRUE,4041,0.125,12.5,471987,10.59,856.17,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-58,-12.29,-53.7,-2.9000000000000004
Unbekannt,CH,202019,0,TRUE,42,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-19,-1,NA,-100,-0.1
0 - 9,CH,202020,8,TRUE,158,0.035,3.5000000000000004,883904,0.91,17.88,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-5,-0.56,-38.5,0.30000000000000027
10 - 19,CH,202020,24,TRUE,866,0.104,10.4,858994,2.79,100.82,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,0,0,0,4.4
20 - 29,CH,202020,28,TRUE,3804,0.121,12.1,1027732,2.72,370.14,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-34,-3.31,-54.8,-3.4000000000000004
30 - 39,CH,202020,31,TRUE,4107,0.134,13.4,1254957,2.47,327.26,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-33,-2.63,-51.6,-2.5999999999999996
40 - 49,CH,202020,33,TRUE,4778,0.143,14.299999999999999,1205539,2.74,396.34,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-31,-2.57,-48.4,-1.700000000000001
50 - 59,CH,202020,44,TRUE,6201,0.19,19,1300012,3.38,477,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-21,-1.62,-32.3,2.8000000000000007
60 - 69,CH,202020,26,TRUE,3656,0.113,11.3,991217,2.62,368.84,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-7,-0.71,-21.2,3.0999999999999996
70 - 79,CH,202020,16,TRUE,2887,0.069,6.9,744449,2.15,387.8,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-9,-1.21,-36,0.7000000000000002
80+,CH,202020,21,TRUE,4062,0.091,9.1,471987,4.45,860.62,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,-29,-6.14,-58,-3.4000000000000004
Unbekannt,CH,202020,0,TRUE,42,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-20,0,NA,NA,0
0 - 9,CH,202021,6,TRUE,164,0.039,3.9,883904,0.68,18.55,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-2,-0.23,-25,0.39999999999999947
10 - 19,CH,202021,10,TRUE,876,0.065,6.5,858994,1.16,101.98,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-14,-1.63,-58.3,-3.9000000000000004
20 - 29,CH,202021,32,TRUE,3836,0.209,20.9,1027732,3.11,373.25,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,4,0.39,14.3,8.799999999999999
30 - 39,CH,202021,15,TRUE,4122,0.098,9.8,1254957,1.2,328.46,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-16,-1.27,-51.6,-3.5999999999999996
40 - 49,CH,202021,23,TRUE,4801,0.15,15,1205539,1.91,398.25,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-10,-0.83,-30.3,0.7000000000000011
50 - 59,CH,202021,26,TRUE,6227,0.17,17,1300012,2,479,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-18,-1.38,-40.9,-2
60 - 69,CH,202021,15,TRUE,3671,0.098,9.8,991217,1.51,370.35,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-11,-1.11,-42.3,-1.5
70 - 79,CH,202021,10,TRUE,2897,0.065,6.5,744449,1.34,389.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-6,-0.81,-37.5,-0.40000000000000036
80+,CH,202021,16,TRUE,4078,0.105,10.5,471987,3.39,864.01,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,-5,-1.06,-23.8,1.4000000000000004
Unbekannt,CH,202021,0,TRUE,42,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-21,0,NA,NA,0
0 - 9,CH,202022,7,TRUE,171,0.056,5.6000000000000005,883904,0.79,19.35,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,1,0.11,16.7,1.7000000000000006
10 - 19,CH,202022,15,TRUE,891,0.119,11.899999999999999,858994,1.75,103.73,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,5,0.59,50,5.399999999999999
20 - 29,CH,202022,25,TRUE,3861,0.198,19.8,1027732,2.43,375.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,-7,-0.68,-21.9,-1.0999999999999979
30 - 39,CH,202022,19,TRUE,4141,0.151,15.1,1254957,1.51,329.97,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,4,0.31,26.7,5.299999999999999
40 - 49,CH,202022,22,TRUE,4823,0.175,17.5,1205539,1.82,400.07,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,-1,-0.09,-4.3,2.5
50 - 59,CH,202022,23,TRUE,6250,0.183,18.3,1300012,1.77,480.76,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,-3,-0.23,-11.5,1.3000000000000007
60 - 69,CH,202022,5,TRUE,3676,0.04,4,991217,0.5,370.86,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-22,-10,-1.01,-66.7,-5.800000000000001
